1500, 0.079302, -0.256402, -0.492124, 0.560551
1500, 0.079168, -0.256197, -0.492529, 0.560794
1500, 0.078803, -0.256176, -0.491868, 0.560152
1500, 0.078932, -0.256271, -0.491911, 0.560251
1525, 0.083937, -0.230990, -0.495367, 0.552983
1525, 0.082017, -0.230419, -0.495907, 0.552941
1525, 0.081854, -0.232520, -0.495224, 0.553184
1525, 0.079118, -0.235175, -0.494484, 0.553246
1550, 0.080638, -0.232791, -0.495238, 0.553132
1550, 0.080286, -0.232521, -0.495205, 0.552937
1550, 0.079834, -0.231406, -0.495084, 0.552295
1550, 0.080511, -0.231790, -0.495269, 0.552720
1575, 0.079233, -0.232070, -0.495206, 0.552597
1575, 0.078666, -0.232099, -0.494946, 0.552296
1575, 0.078767, -0.232639, -0.495021, 0.552603
1575, 0.079465, -0.231816, -0.495450, 0.552742
1600, 0.076572, -0.232291, -0.494669, 0.551833
1600, 0.076078, -0.233655, -0.494087, 0.551819
1600, 0.075902, -0.233112, -0.494592, 0.552018
1600, 0.075585, -0.232609, -0.494852, 0.551995
1625, 0.073082, -0.233225, -0.494528, 0.551628
1625, 0.072737, -0.232835, -0.494852, 0.551708
1625, 0.073105, -0.232933, -0.494778, 0.551732
1625, 0.072592, -0.232788, -0.494795, 0.551617
1650, 0.069056, -0.233860, -0.494101, 0.550995
1650, 0.069616, -0.233809, -0.494138, 0.551076
1650, 0.067916, -0.232329, -0.493951, 0.550070
1650, 0.068341, -0.233821, -0.494452, 0.551203
1675, 0.064296, -0.234013, -0.494056, 0.550442
1675, 0.064165, -0.234099, -0.493366, 0.549845
1675, 0.065070, -0.232668, -0.493824, 0.549756
1675, 0.064001, -0.233947, -0.493658, 0.550023
1700, 0.058252, -0.234259, -0.493427, 0.549309
1700, 0.060581, -0.232530, -0.493574, 0.548959
1700, 0.060799, -0.232249, -0.493540, 0.548834
1700, 0.059745, -0.234634, -0.493004, 0.549250
1675, 0.063525, -0.233485, -0.492622, 0.548841
1675, 0.064029, -0.234532, -0.493421, 0.550063
1675, 0.064678, -0.232024, -0.493722, 0.549345
1675, 0.064008, -0.232139, -0.493955, 0.549524
1650, 0.068273, -0.234105, -0.493271, 0.550257
1650, 0.068990, -0.233972, -0.493886, 0.550841
1650, 0.069889, -0.233123, -0.493681, 0.550411
1650, 0.069101, -0.231679, -0.493750, 0.549763
1625, 0.073873, -0.232658, -0.493887, 0.550919
1625, 0.073699, -0.231612, -0.494043, 0.550594
1625, 0.073480, -0.231703, -0.494081, 0.550637
1625, 0.073684, -0.231858, -0.494479, 0.551087
1600, 0.076955, -0.231671, -0.494282, 0.551279
1600, 0.076623, -0.232688, -0.494202, 0.551589
1600, 0.076576, -0.231876, -0.494427, 0.551442
1600, 0.076834, -0.231647, -0.494447, 0.551400
1575, 0.080423, -0.231617, -0.494286, 0.551754
1575, 0.079142, -0.232965, -0.494368, 0.552210
1575, 0.079257, -0.231562, -0.494259, 0.551538
1575, 0.079628, -0.231219, -0.494436, 0.551606
1550, 0.081106, -0.231578, -0.494387, 0.551928
1550, 0.081218, -0.231314, -0.494278, 0.551737
1550, 0.081490, -0.232115, -0.494462, 0.552278
1550, 0.080408, -0.232457, -0.494273, 0.552094
1525, 0.082017, -0.230176, -0.494390, 0.551479
1525, 0.081617, -0.232822, -0.494374, 0.552516
1525, 0.081454, -0.232131, -0.495009, 0.552769
1525, 0.081982, -0.231012, -0.495063, 0.552426
1500, 0.080407, -0.254777, -0.491120, 0.559084
1500, 0.080189, -0.254645, -0.491420, 0.559256
1500, 0.080288, -0.255000, -0.491348, 0.559369
1500, 0.080479, -0.254706, -0.491521, 0.559414
1475, 0.080741, -0.255448, -0.491500, 0.559772
1475, 0.080352, -0.254680, -0.491457, 0.559328
1475, 0.080373, -0.255367, -0.491464, 0.559651
1475, 0.080371, -0.254875, -0.491144, 0.559145
1450, 0.081537, -0.231727, -0.494527, 0.552180
1450, 0.082570, -0.232100, -0.494998, 0.552912
1450, 0.081344, -0.233607, -0.494392, 0.552822
1450, 0.081704, -0.231316, -0.494952, 0.552413
1425, 0.080236, -0.232457, -0.494355, 0.552142
1425, 0.080767, -0.232518, -0.494571, 0.552438
